launch_angle,exit_velocity,hit_distance_sc,spray_angle,game_type,is_hit
7.0,89.7,110.0,-14.299337742539198,RS,0
-6.0,93.0,20.0,-18.60327403157577,RS,0
9.0,92.5,181.0,22.063304472498587,RS,1
26.0,99.5,382.0,1.6399258556408736,RS,0
4.0,99.7,105.0,0.7491375277566675,RS,1
-5.0,89.6,19.0,28.977583859557214,RS,0
72.0,91.2,78.0,23.79087277322025,RS,0
1.0,79.9,47.0,37.88962285025152,RS,0
7.0,64.4,68.0,-15.80239391807255,RS,0
75.0,90.0,95.0,54.15489076613038,RS,0
-1.0,89.2,34.0,-1.8091860104952386,RS,0
38.0,86.0,298.0,34.0842772839858,RS,0
4.0,93.7,89.0,-1.6174574050630848,RS,1
-27.0,102.5,5.0,-8.166118433370595,RS,0
73.0,76.7,108.0,-56.79245398964803,RS,0
15.0,107.4,299.0,-16.945262978975205,RS,0
33.0,94.4,358.0,-1.4319634864767694,RS,0
74.0,88.0,73.0,-11.918573653751757,RS,0
20.0,105.0,405.0,-7.919482008460983,RS,1
24.0,95.6,366.0,-23.54616371535394,RS,1
3.0,91.2,65.0,-21.988895464566674,RS,1
-22.0,85.6,6.0,-34.2586000124298,RS,0
15.0,88.1,239.0,3.4708834929924572,RS,1
16.0,103.2,318.0,2.9594709771179426,RS,0
22.0,91.3,334.0,-6.9060410626783515,RS,0
-13.0,94.9,9.0,-26.51165005460899,RS,0
-6.0,87.3,19.0,-25.003175901686184,RS,0
16.0,105.4,363.0,-4.8862552743433465,RS,0
11.0,105.0,243.0,-13.320602467071653,RS,1
-47.0,78.7,2.0,-32.020524957003715,RS,0
-10.0,90.4,14.0,28.296577851639526,RS,1
26.0,99.1,358.0,8.487967620668048,RS,1
-17.0,67.3,5.0,-30.815645408453236,RS,0
1.0,105.5,58.0,25.358543781454827,RS,1
-19.0,91.2,9.0,-7.736791161798406,RS,0
-15.0,106.1,6.0,-12.456477904416612,RS,1
28.0,86.8,334.0,15.421511624468176,RS,0
-53.0,68.4,2.0,2.706546190394909,RS,0
32.0,95.2,348.0,17.57983448147104,RS,1
11.0,97.9,263.0,4.726106337960662,RS,1
19.0,97.0,298.0,24.40795097982751,RS,0
32.0,103.1,393.0,-27.629672772570657,RS,1
-9.0,86.4,14.0,8.3877602802633,RS,0
-4.0,102.5,27.0,-11.608247646452622,RS,0
-10.0,103.7,11.0,-5.4207831378458,RS,0
-21.0,78.8,5.0,32.59283861660569,RS,0
-75.0,65.6,1.0,34.38582965198103,RS,0
77.0,77.4,60.0,-86.14688885282528,RS,0
1.0,102.4,56.0,16.08489181867426,RS,0
15.0,87.1,218.0,10.896328281072703,RS,1
37.0,64.7,196.0,-32.362161923497474,RS,1
20.0,107.7,312.0,36.795469569184455,RS,1
13.0,109.2,284.0,-9.948756074709422,RS,1
83.0,77.2,16.0,0.2949001178884013,RS,0
24.0,101.6,380.0,-24.388014753269104,RS,1
-5.0,86.2,27.0,-22.343571061056743,RS,0
